gvkey,datadate,fyear,tic,revt,sic
006733,20190131,2018,LB,13237.0000,5600
006737,20191231,2019,LECO,3003.2720,3540
006742,20191231,2019,LNC,17489.0000,6311
006742,20191231,2019,LNC,17236.0000,6311
006771,20191231,2019,LBLCF,48037.0000,5411
006774,20191231,2019,LMT,59812.0000,3760
006781,20191231,2019,L,14701.0000,6331
006781,20191231,2019,L,15067.0000,6331
006788,20191231,2019,RRC,2826.4780,1311
006821,20191231,2019,LPX,2310.0000,2400
006823,20191231,2019,ETR2,4285.1750,4911
006829,20190131,2018,LOW,71309.0000,5211
006831,20190831,2019,LUB,323.4700,5812
006845,20191231,2019,LDL,837.3980,3714
006848,20191231,2019,LGL,31.8970,3679
006865,20191231,2019,MDC,3293.2530,1531
006867,20191231,2019,MDU,5336.7760,4932
006900,20190930,2019,MTSC,892.5180,3829
006932,20191231,2019,MGEE,568.8550,4931
006946,20191231,2019,MGA,39431.0000,3714
006972,20190331,2018,MKTAY,4427.3050,3540
006994,20191231,2019,MTW,1834.1000,3530
007017,20191231,2019,MRO,4991.0000,1311
007022,20191231,2019,MCS,820.8630,7830
007034,20190630,2019,MARPS,0.8390,6792
007063,20191231,2019,HST,5515.0000,6798
007063,20191231,2019,HST,5859.0000,6798
007065,20191231,2019,MMC,16652.0000,6411
007085,20191231,2019,MAS,6707.0000,3430
007092,20190630,2019,CCUR,3.4560,6500
007095,20191231,2019,IMUN,0.0000,2836
007114,20190331,2018,PCRFY,72222.0240,3600
007116,20191231,2019,MAT,4510.3710,3942
007117,20191231,2019,MLP,10.0450,6552
007117,20191231,2019,MLP,10.0450,6552
007138,20190731,2019,MAYS,20.4780,6512
007146,20191130,2019,MKC,5347.4000,2090
007152,20191231,2019,MDRIQ,8431.0000,8711
007154,20191231,2019,MCD,21076.5000,5812
007161,20191231,2019,MGRC,570.2300,7359
007163,20191231,2019,SPGI,6699.0000,7323
007171,20190331,2018,MCK,214319.0000,5122
007179,20190731,2019,MCRAA,82.1540,3140
007183,20191231,2019,MKTY,6.5710,3829
007185,20190930,2019,GENC,81.3290,3567
007228,20190430,2018,MDT,30557.0000,3845
007232,20191031,2019,PSSR,15.0460,7372
007241,20191231,2019,CVS,256776.0000,5912
007257,20191231,2019,MRK,46840.0000,2834
007260,20190630,2019,MDP,3188.5000,2721
007275,20190331,2018,MLAB,103.1350,3823
007277,20191231,2019,MTR,1.8080,6792
007279,20190131,2018,MSB,47.0330,6795
007291,20190430,2018,MEI,1000.3000,3678
007295,20190630,2019,EVI,228.3180,5080
007302,20191231,2019,GPU1,824.0000,4911
